frequency_hz,confidence,valid,algorithm
[ACF] Pitch: 82.62 Hz | Confidence: 0.72
[ACF] Pitch: 87.43 Hz | Confidence: 0.63
[ACF] Pitch: 82.62 Hz | Confidence: 0.74
[ACF] Pitch: 82.62 Hz | Confidence: 0.73
[ACF] Pitch: 86.64 Hz | Confidence: 0.62
[ACF] Pitch: 82.76 Hz | Confidence: 0.70
[ACF] Pitch: 82.76 Hz | Confidence: 0.73
[ACF] Pitch: 82.62 Hz | Confidence: 0.74
[ACF] Pitch: 82.90 Hz | Confidence: 0.71
[ACF] Pitch: 82.62 Hz | Confidence: 0.70
[ACF] Pitch: 82.76 Hz | Confidence: 0.70
[ACF] Pitch: 108.11 Hz | Confidence: 0.76
[ACF] Pitch: 110.09 Hz | Confidence: 0.78
[ACF] Pitch: 110.34 Hz | Confidence: 0.80
[ACF] Pitch: 110.34 Hz | Confidence: 0.80
[ACF] Pitch: 111.11 Hz | Confidence: 0.76
[ACF] Pitch: 110.60 Hz | Confidence: 0.77
[ACF] Pitch: 110.60 Hz | Confidence: 0.77
[ACF] Pitch: 108.11 Hz | Confidence: 0.75
[ACF] Pitch: 110.34 Hz | Confidence: 0.79
[ACF] Pitch: 110.34 Hz | Confidence: 0.77
[ACF] Pitch: 110.85 Hz | Confidence: 0.73
[ACF] Pitch: 148.15 Hz | Confidence: 0.84
[ACF] Pitch: 147.24 Hz | Confidence: 0.83
[ACF] Pitch: 148.15 Hz | Confidence: 0.63
[ACF] Pitch: 147.24 Hz | Confidence: 0.84
[ACF] Pitch: 147.24 Hz | Confidence: 0.82
[ACF] Pitch: 148.15 Hz | Confidence: 0.83
[ACF] Pitch: 147.24 Hz | Confidence: 0.84
[ACF] Pitch: 147.24 Hz | Confidence: 0.84
[ACF] Pitch: 196.72 Hz | Confidence: 0.80
[ACF] Pitch: 196.72 Hz | Confidence: 0.82
[ACF] Pitch: 196.72 Hz | Confidence: 0.86
[ACF] Pitch: 195.92 Hz | Confidence: 0.81
[ACF] Pitch: 196.72 Hz | Confidence: 0.74
[ACF] Pitch: 195.92 Hz | Confidence: 0.79
[ACF] Pitch: 197.53 Hz | Confidence: 0.88
[ACF] Pitch: 196.72 Hz | Confidence: 0.76
[ACF] Pitch: 248.70 Hz | Confidence: 0.89
[ACF] Pitch: 248.70 Hz | Confidence: 0.90
[ACF] Pitch: 247.42 Hz | Confidence: 0.81
[ACF] Pitch: 248.70 Hz | Confidence: 0.83
[ACF] Pitch: 247.42 Hz | Confidence: 0.86
[ACF] Pitch: 248.70 Hz | Confidence: 0.90
[ACF] Pitch: 331.03 Hz | Confidence: 0.86
[ACF] Pitch: 331.03 Hz | Confidence: 0.87
[ACF] Pitch: 331.03 Hz | Confidence: 0.80
[ACF] Pitch: 331.03 Hz | Confidence: 0.87
[ACF] Pitch: 331.03 Hz | Confidence: 0.91
[ACF] Pitch: 331.03 Hz | Confidence: 0.93
